attendance,assignment_score,internal_marks,Extracurricular Activities,final_marks
69,19,29.0,No,48.0
97,12,17.0,No,46.0
91,12,20.0,Yes,39.0
87,17,23.0,No,50.0
76,11,20.0,No,61.0
90,17,25.0,No,45.0
67,12,18.0,No,43.0
99,20,29.0,No,35.0
84,17,26.0,Yes,43.0
68,15,22.0,Yes,41.0
61,20,29.0,No,35.0
74,18,28.0,No,50.0
62,16,26.0,Yes,48.0
95,9,11.0,Yes,46.0
63,13,21.0,No,41.0
73,18,29.0,No,54.0
100,11,13.0,No,27.0
100,13,18.0,Yes,28.0
84,12,20.0,No,47.0
69,16,25.0,No,58.0
80,18,30.0,No,46.0
95,18,27.0,No,46.0
71,12,17.0,No,35.0
86,16,27.0,No,24.0
99,12,16.0,No,35.0
61,14,21.0,No,51.0
72,17,27.0,Yes,29.0
91,18,28.0,Yes,36.0
90,9,12.0,Yes,29.0
75,15,23.0,No,36.0
91,19,28.0,Yes,56.0
91,16,21.0,Yes,39.0
93,15,22.0,Yes,54.0
70,13,16.0,Yes,39.0
69,19,27.0,Yes,59.0
74,13,17.0,No,48.0
76,15,24.0,Yes,40.0
99,14,22.0,No,43.0
77,15,26.0,No,31.0
68,19,27.0,Yes,40.0
84,12,18.0,No,59.0
99,15,20.0,Yes,49.0
73,16,23.0,No,24.0
84,13,19.0,No,43.0
81,15,26.0,Yes,47.0
89,20,30.0,No,53.0
79,10,15.0,No,41.0
80,14,23.0,No,44.0
91,16,25.0,No,55.0
80,14,21.0,No,43.0
94,20,30.0,No,38.0
91,17,25.0,No,53.0
89,12,24.0,No,54.0
98,8,14.0,Yes,23.0
71,16,23.0,No,48.0
100,13,21.0,Yes,35.0
77,19,30.0,Yes,49.0
80,14,22.0,No,55.0
72,13,21.0,No,51.0
80,13,18.0,Yes,52.0
67,18,26.0,Yes,38.0
99,16,27.0,Yes,40.0
66,20,30.0,No,51.0
82,14,20.0,No,46.0
91,18,27.0,No,30.0
70,18,26.0,Yes,54.0
81,17,27.0,No,30.0
81,13,18.0,No,48.0
84,16,24.0,No,47.0
81,15,21.0,No,57.0
87,15,27.0,Yes,43.0
88,13,21.0,No,25.0
72,9,15.0,No,46.0
77,19,30.0,Yes,48.0
61,16,23.0,No,56.0
88,11,20.0,Yes,40.0
80,17,25.0,Yes,52.0
74,19,30.0,No,54.0
86,17,25.0,Yes,38.0
90,12,19.0,No,48.0
74,13,20.0,Yes,30.0
82,13,20.0,Yes,51.0
83,18,24.0,No,47.0
72,16,22.0,Yes,33.0
81,20,30.0,No,41.0
96,10,12.0,No,56.0
92,15,24.0,No,47.0
62,9,19.0,No,38.0
78,17,27.0,Yes,37.0
82,18,30.0,No,55.0
88,19,30.0,Yes,40.0
89,16,25.0,No,47.0
98,9,14.0,Yes,41.0
84,15,22.0,Yes,23.0
96,16,24.0,Yes,38.0
67,12,17.0,Yes,56.0
75,14,22.0,No,66.0
67,11,21.0,No,37.0
60,13,22.0,Yes,48.0
64,18,27.0,Yes,68.0
62,17,27.0,No,57.0
60,11,16.0,Yes,33.0
63,13,22.0,Yes,42.0
99,15,19.0,No,48.0
94,16,28.0,Yes,58.0
91,13,18.0,Yes,33.0
93,16,23.0,No,53.0
84,15,20.0,Yes,52.0
69,7,11.0,No,42.0
80,13,18.0,No,66.0
98,13,22.0,No,36.0
86,17,27.0,No,49.0
86,17,24.0,Yes,47.0
61,10,13.0,No,49.0
100,16,23.0,No,57.0
72,15,21.0,Yes,32.0
68,15,22.0,No,47.0
95,13,18.0,Yes,65.0
81,15,25.0,No,53.0
85,18,26.0,No,38.0
71,15,24.0,No,37.0
76,15,24.0,No,50.0
73,14,17.0,Yes,40.0
73,18,28.0,Yes,44.0
93,11,13.0,Yes,38.0
79,13,18.0,No,66.0
70,11,18.0,No,48.0
75,16,24.0,No,46.0
90,19,28.0,Yes,29.0
65,14,17.0,No,37.0
78,12,20.0,Yes,44.0
96,20,30.0,Yes,44.0
63,16,22.0,Yes,62.0
63,16,22.0,No,46.0
79,14,23.0,No,55.0
69,17,26.0,No,47.0
83,16,21.0,No,54.0
94,14,20.0,Yes,28.0
85,14,25.0,Yes,32.0
96,12,20.0,No,54.0
97,12,18.0,No,60.0
80,14,21.0,No,28.0
99,18,23.0,Yes,45.0
98,12,21.0,No,30.0
80,18,26.0,Yes,38.0
69,13,18.0,Yes,26.0
97,10,16.0,Yes,44.0
63,17,24.0,Yes,43.0
79,20,26.0,Yes,43.0
76,12,19.0,Yes,42.0
66,10,12.0,Yes,51.0
63,16,24.0,No,62.0
88,12,19.0,No,33.0
73,17,25.0,No,37.0
62,18,26.0,Yes,46.0
83,16,27.0,Yes,42.0
96,17,29.0,No,42.0
75,17,24.0,Yes,32.0
63,18,26.0,Yes,40.0
83,15,21.0,Yes,41.0
93,17,25.0,Yes,47.0
89,15,22.0,Yes,36.0
77,16,27.0,Yes,54.0
78,20,30.0,Yes,32.0
90,16,22.0,Yes,61.0
78,11,15.0,Yes,37.0
78,14,22.0,Yes,59.0
81,14,20.0,Yes,38.0
83,14,22.0,Yes,53.0
71,18,27.0,No,41.0
89,18,28.0,Yes,46.0
97,15,22.0,Yes,51.0
90,11,14.0,No,42.0
95,15,22.0,No,26.0
78,13,24.0,No,39.0
95,16,26.0,Yes,40.0
89,15,20.0,Yes,62.0
92,19,30.0,No,45.0
77,16,24.0,No,47.0
87,13,19.0,No,44.0
70,11,16.0,Yes,47.0
92,15,23.0,Yes,33.0
76,15,25.0,No,38.0
65,14,21.0,Yes,52.0
63,17,26.0,Yes,43.0
79,11,19.0,No,44.0
86,13,19.0,No,45.0
74,15,23.0,No,52.0
65,13,20.0,Yes,39.0
73,14,21.0,Yes,46.0
70,15,23.0,Yes,23.0
98,17,24.0,Yes,29.0
68,15,24.0,Yes,43.0
85,9,12.0,No,34.0
75,13,20.0,Yes,55.0
64,16,24.0,Yes,34.0
69,17,24.0,No,44.0
62,17,29.0,No,53.0
72,18,30.0,No,50.0
89,15,21.0,No,40.0
65,16,26.0,Yes,41.0
76,12,18.0,Yes,50.0
78,8,11.0,No,53.0
94,11,17.0,Yes,60.0
85,13,21.0,No,53.0
64,11,17.0,Yes,52.0
88,14,20.0,Yes,48.0
96,14,24.0,Yes,46.0
79,18,30.0,No,41.0
80,12,17.0,No,50.0
69,15,23.0,Yes,43.0
64,14,18.0,Yes,52.0
95,12,20.0,No,52.0
65,13,22.0,No,50.0
85,9,14.0,Yes,39.0
63,17,23.0,Yes,44.0
98,19,30.0,No,56.0
98,14,25.0,Yes,28.0
94,15,22.0,No,47.0
60,14,22.0,No,53.0
83,13,21.0,Yes,49.0
95,17,27.0,Yes,66.0
65,16,24.0,Yes,29.0
100,6,13.0,No,33.0
90,12,15.0,No,47.0
79,9,10.0,No,54.0
83,20,30.0,Yes,46.0
84,14,24.0,Yes,58.0
95,16,26.0,No,39.0
80,14,18.0,No,42.0
89,18,30.0,Yes,53.0
83,18,28.0,No,41.0
89,14,19.0,Yes,54.0
81,20,30.0,Yes,52.0
87,16,26.0,No,41.0
66,11,19.0,No,48.0
94,15,22.0,No,40.0
87,17,27.0,No,36.0
73,15,22.0,No,41.0
69,14,21.0,Yes,43.0
75,20,30.0,No,46.0
75,11,19.0,Yes,44.0
84,20,30.0,No,55.0
72,11,15.0,No,28.0
65,14,19.0,No,47.0
68,14,19.0,No,38.0
95,19,29.0,No,46.0
79,19,26.0,Yes,43.0
77,11,14.0,No,48.0
80,19,28.0,No,50.0
63,19,27.0,No,55.0
92,15,24.0,No,53.0
86,18,26.0,Yes,45.0
66,18,25.0,Yes,54.0
65,14,26.0,Yes,40.0
74,15,18.0,Yes,62.0
77,17,27.0,Yes,39.0
91,10,16.0,Yes,40.0
70,14,20.0,No,27.0
79,11,15.0,No,38.0
83,19,30.0,Yes,42.0
74,14,25.0,No,42.0
66,16,23.0,No,62.0
80,14,20.0,No,51.0
85,14,23.0,No,54.0
73,16,24.0,No,45.0
96,13,21.0,Yes,38.0
80,14,22.0,Yes,67.0
77,14,21.0,Yes,44.0
64,14,21.0,Yes,51.0
62,16,25.0,Yes,36.0
82,14,19.0,Yes,33.0
85,20,29.0,No,60.0
96,17,26.0,Yes,49.0
83,11,16.0,No,43.0
78,17,30.0,No,43.0
84,13,20.0,Yes,35.0
80,15,19.0,Yes,39.0
71,13,14.0,Yes,49.0
100,8,14.0,No,45.0
92,15,23.0,Yes,53.0
66,16,23.0,Yes,47.0
81,16,24.0,No,53.0
92,13,20.0,Yes,23.0
76,20,30.0,Yes,35.0
83,11,16.0,No,31.0
93,13,21.0,No,58.0
87,12,16.0,No,46.0
100,20,30.0,Yes,46.0
98,19,30.0,Yes,56.0
81,11,20.0,No,44.0
76,13,16.0,Yes,39.0
93,13,19.0,No,47.0
65,13,20.0,No,49.0
65,12,21.0,No,34.0
93,13,20.0,No,61.0
60,18,30.0,No,26.0
69,20,29.0,Yes,48.0
80,10,16.0,Yes,62.0
64,12,19.0,Yes,46.0
61,16,27.0,Yes,24.0
81,10,17.0,No,60.0
61,16,25.0,Yes,40.0
69,17,27.0,No,53.0
93,17,23.0,No,49.0
75,17,25.0,Yes,45.0
98,13,17.0,Yes,24.0
81,14,20.0,No,49.0
71,11,16.0,Yes,52.0
83,16,19.0,Yes,29.0
99,20,30.0,Yes,62.0
97,16,22.0,Yes,41.0
69,13,17.0,No,63.0
94,18,27.0,No,52.0
91,20,29.0,Yes,45.0
66,16,25.0,No,46.0
80,17,24.0,No,55.0
79,17,25.0,Yes,60.0
85,10,20.0,Yes,35.0
63,14,22.0,No,39.0
81,13,18.0,No,62.0
74,18,29.0,No,36.0
99,17,29.0,Yes,45.0
80,15,24.0,No,38.0
74,13,18.0,No,52.0
81,10,17.0,Yes,20.0
87,15,21.0,No,52.0
73,12,21.0,Yes,57.0
86,12,18.0,Yes,52.0
100,18,26.0,No,37.0
87,14,24.0,Yes,38.0
85,10,20.0,No,52.0
61,13,20.0,Yes,45.0
84,18,26.0,No,54.0
62,16,22.0,Yes,43.0
67,14,18.0,Yes,42.0
92,15,20.0,No,61.0
94,9,14.0,No,38.0
65,9,16.0,No,51.0
98,20,28.0,Yes,53.0
82,17,27.0,No,69.0
84,15,21.0,Yes,62.0
78,14,20.0,No,50.0
64,10,13.0,Yes,52.0
70,18,30.0,No,58.0
71,12,21.0,Yes,39.0
69,17,24.0,No,63.0
67,15,21.0,Yes,45.0
83,15,24.0,Yes,52.0
87,11,20.0,Yes,49.0
100,11,20.0,Yes,37.0
95,16,23.0,No,41.0
96,15,22.0,Yes,37.0
80,15,20.0,No,47.0
67,16,23.0,Yes,30.0
68,9,14.0,No,35.0
74,18,24.0,Yes,41.0
99,14,20.0,Yes,43.0
77,19,29.0,No,60.0
79,9,10.0,No,55.0
65,17,26.0,Yes,44.0
71,17,28.0,No,63.0
61,11,18.0,No,48.0
66,13,19.0,No,52.0
75,12,20.0,Yes,26.0
62,18,30.0,No,36.0
62,16,25.0,Yes,55.0
86,20,30.0,No,52.0
99,16,23.0,No,63.0
97,17,25.0,Yes,62.0
92,19,30.0,No,40.0
87,17,29.0,No,57.0
60,14,20.0,No,35.0
67,13,19.0,No,29.0
96,15,21.0,No,48.0
91,17,25.0,No,53.0
96,13,17.0,No,48.0
63,17,26.0,Yes,55.0
89,16,21.0,Yes,39.0
65,11,15.0,Yes,55.0
78,17,25.0,Yes,40.0
91,15,20.0,Yes,69.0
68,13,18.0,No,54.0
71,15,20.0,Yes,61.0
70,13,22.0,Yes,33.0
75,16,27.0,No,41.0
60,14,19.0,Yes,44.0
80,10,21.0,No,33.0
89,15,21.0,No,61.0
72,14,20.0,Yes,46.0
93,17,26.0,Yes,30.0
63,18,28.0,No,40.0
87,13,19.0,No,34.0
97,13,22.0,Yes,52.0
90,10,17.0,No,51.0
86,13,19.0,Yes,51.0
64,14,21.0,Yes,55.0
84,11,15.0,Yes,67.0
62,18,25.0,Yes,63.0
92,16,22.0,No,41.0
63,15,24.0,No,66.0
84,15,23.0,Yes,43.0
79,16,24.0,Yes,46.0
93,17,24.0,No,46.0
85,17,24.0,No,52.0
64,14,21.0,No,26.0
94,15,22.0,No,45.0
87,16,24.0,No,48.0
88,14,20.0,Yes,28.0
68,18,26.0,Yes,28.0
97,19,29.0,Yes,37.0
65,16,25.0,Yes,38.0
78,12,17.0,No,45.0
70,17,21.0,No,44.0
61,16,21.0,Yes,57.0
68,12,20.0,Yes,41.0
80,16,26.0,No,41.0
83,13,21.0,Yes,55.0
93,17,27.0,Yes,26.0
81,17,28.0,No,63.0
62,16,23.0,No,30.0
71,15,23.0,No,55.0
87,9,12.0,Yes,53.0
89,11,16.0,No,61.0
85,15,26.0,No,38.0
80,20,28.0,Yes,45.0
87,17,23.0,No,33.0
85,20,30.0,Yes,44.0
92,15,22.0,Yes,44.0
80,15,23.0,Yes,61.0
94,19,30.0,Yes,50.0
93,15,22.0,No,45.0
100,12,22.0,Yes,45.0
77,16,26.0,No,40.0
70,18,25.0,No,43.0
82,13,19.0,No,46.0
81,17,27.0,No,64.0
76,15,21.0,No,49.0
64,16,20.0,Yes,35.0
70,16,28.0,No,70.0
89,14,19.0,Yes,55.0
74,15,24.0,Yes,55.0
86,14,22.0,Yes,43.0
94,15,21.0,No,53.0
92,12,22.0,No,48.0
79,13,20.0,No,31.0
75,14,21.0,No,50.0
93,16,21.0,Yes,32.0
61,11,12.0,No,48.0
94,15,22.0,No,49.0
99,13,22.0,Yes,36.0
87,14,17.0,Yes,46.0
98,13,20.0,Yes,51.0
65,16,24.0,Yes,40.0
68,15,25.0,Yes,50.0
79,17,28.0,Yes,58.0
60,16,24.0,Yes,53.0
67,10,15.0,No,42.0
82,12,17.0,No,60.0
62,14,19.0,Yes,53.0
63,15,21.0,Yes,43.0
84,12,16.0,No,39.0
97,19,28.0,Yes,51.0
74,18,27.0,Yes,56.0
80,10,14.0,Yes,56.0
94,16,24.0,Yes,51.0
73,15,22.0,Yes,42.0
95,19,30.0,No,51.0
71,10,15.0,Yes,36.0
76,20,29.0,Yes,48.0
98,12,16.0,Yes,63.0
68,16,24.0,No,35.0
94,13,22.0,No,39.0
72,14,22.0,Yes,54.0
74,10,17.0,Yes,36.0
77,19,30.0,Yes,60.0
92,14,23.0,Yes,55.0
65,14,23.0,No,55.0
86,20,30.0,No,56.0
82,18,26.0,Yes,32.0
86,13,21.0,Yes,34.0
93,13,15.0,No,58.0
97,16,27.0,No,42.0
73,17,27.0,Yes,44.0
95,20,30.0,Yes,52.0
67,10,13.0,Yes,47.0
94,17,28.0,No,56.0
78,18,28.0,No,51.0
89,13,18.0,No,43.0
73,14,21.0,No,44.0
79,10,15.0,Yes,48.0
84,13,19.0,No,49.0
99,16,21.0,No,53.0
83,20,30.0,No,47.0
73,20,28.0,Yes,44.0
85,12,16.0,No,43.0
97,19,30.0,No,41.0
82,9,11.0,No,61.0
81,13,19.0,Yes,36.0
78,14,19.0,No,32.0
62,16,27.0,Yes,54.0
78,15,25.0,Yes,50.0
68,16,22.0,No,66.0
87,14,19.0,Yes,44.0
79,18,29.0,No,45.0
66,17,26.0,Yes,37.0
73,14,20.0,Yes,46.0
68,18,26.0,No,28.0
78,20,30.0,No,26.0
73,13,21.0,Yes,40.0
97,20,30.0,Yes,46.0
95,13,23.0,Yes,39.0
99,19,27.0,Yes,39.0
76,13,20.0,No,30.0
89,17,28.0,Yes,51.0
68,16,22.0,Yes,38.0
92,10,14.0,No,62.0
84,20,30.0,Yes,44.0
73,12,17.0,No,34.0
70,11,14.0,No,22.0
94,13,18.0,No,33.0
100,20,30.0,Yes,44.0
73,11,17.0,No,21.0
89,16,21.0,No,37.0
100,12,17.0,No,40.0
63,12,22.0,Yes,38.0
63,10,15.0,Yes,39.0
87,16,24.0,Yes,40.0
67,15,23.0,Yes,37.0
61,12,18.0,No,60.0
100,18,26.0,No,39.0
100,16,23.0,Yes,29.0
75,19,30.0,No,51.0
88,14,25.0,Yes,50.0
89,16,25.0,Yes,40.0
71,14,19.0,Yes,31.0
94,10,15.0,No,52.0
70,16,23.0,No,29.0
80,15,24.0,Yes,49.0
80,15,23.0,No,41.0
64,16,24.0,Yes,50.0
79,19,26.0,No,40.0
96,14,17.0,Yes,60.0
62,12,16.0,Yes,27.0
92,14,22.0,Yes,51.0
68,15,25.0,No,42.0
68,18,26.0,No,38.0
63,15,21.0,No,58.0
94,12,18.0,No,35.0
76,17,27.0,No,47.0
93,17,27.0,Yes,46.0
83,15,23.0,No,33.0
91,18,30.0,Yes,53.0
60,18,30.0,No,65.0
67,14,19.0,No,61.0
82,12,15.0,No,49.0
99,15,20.0,Yes,43.0
71,17,28.0,No,53.0
71,15,19.0,Yes,55.0
74,12,19.0,No,46.0
100,15,22.0,Yes,21.0
78,9,11.0,Yes,29.0
85,14,21.0,Yes,50.0
88,18,27.0,Yes,48.0
81,18,29.0,No,40.0
80,14,19.0,Yes,30.0
97,17,24.0,No,43.0
79,11,18.0,Yes,42.0
88,14,21.0,No,25.0
63,19,30.0,No,46.0
66,14,20.0,No,30.0
87,20,30.0,Yes,54.0
87,13,22.0,No,48.0
63,19,25.0,Yes,38.0
81,15,23.0,No,35.0
71,12,18.0,Yes,31.0
62,19,27.0,No,40.0
81,11,16.0,Yes,53.0
61,13,20.0,Yes,42.0
83,16,23.0,Yes,43.0
93,15,23.0,No,34.0
86,16,22.0,Yes,40.0
100,14,21.0,No,43.0
60,11,18.0,Yes,46.0
67,13,21.0,Yes,43.0
82,19,30.0,Yes,49.0
97,11,16.0,No,52.0
65,20,29.0,No,60.0
81,16,25.0,No,47.0
84,13,22.0,No,49.0
77,9,14.0,No,40.0
76,9,17.0,No,60.0
71,14,22.0,No,40.0
65,14,20.0,Yes,51.0
85,15,22.0,Yes,40.0
86,20,30.0,No,44.0
67,17,22.0,No,45.0
78,15,21.0,No,25.0
60,19,30.0,No,47.0
88,15,25.0,No,44.0
94,20,30.0,Yes,38.0
99,13,20.0,No,35.0
73,12,17.0,No,39.0
94,9,12.0,No,34.0
79,15,24.0,Yes,40.0
72,11,16.0,Yes,38.0
97,11,20.0,Yes,42.0
67,18,28.0,Yes,53.0
79,10,16.0,No,36.0
92,15,20.0,Yes,39.0
85,15,18.0,Yes,46.0
98,15,23.0,Yes,35.0
80,19,28.0,Yes,53.0
100,13,21.0,Yes,35.0
68,19,27.0,No,46.0
83,10,14.0,Yes,56.0
96,17,28.0,Yes,35.0
100,19,29.0,Yes,37.0
83,15,23.0,No,45.0
80,15,26.0,No,44.0
98,15,23.0,No,45.0
100,20,30.0,No,50.0
98,13,21.0,No,43.0
72,11,17.0,No,30.0
70,15,25.0,No,58.0
78,18,29.0,Yes,49.0
70,17,27.0,Yes,32.0
72,15,25.0,No,43.0
60,14,20.0,Yes,53.0
99,9,12.0,No,36.0
78,17,23.0,Yes,54.0
71,17,25.0,Yes,35.0
67,13,17.0,No,49.0
71,12,17.0,No,54.0
92,18,29.0,No,26.0
85,14,23.0,Yes,57.0
98,15,22.0,No,33.0
87,17,27.0,Yes,64.0
64,16,24.0,Yes,46.0
67,17,22.0,No,55.0
84,16,22.0,No,43.0
86,16,23.0,No,30.0
82,16,24.0,No,36.0
89,16,23.0,No,50.0
82,17,24.0,Yes,70.0
79,11,18.0,No,59.0
77,13,21.0,Yes,46.0
77,14,20.0,No,54.0
61,16,22.0,Yes,47.0
63,20,30.0,Yes,43.0
89,13,25.0,Yes,46.0
92,18,25.0,Yes,39.0
95,13,21.0,Yes,46.0
77,19,28.0,No,49.0
96,20,30.0,Yes,44.0
78,10,13.0,No,40.0
87,14,18.0,Yes,40.0
99,8,10.0,No,42.0
79,10,14.0,Yes,46.0
92,10,15.0,Yes,40.0
71,17,27.0,No,50.0
74,16,22.0,No,29.0
100,17,24.0,Yes,47.0
98,17,30.0,Yes,55.0
61,16,24.0,No,63.0
88,15,23.0,Yes,44.0
100,15,24.0,Yes,51.0
69,18,26.0,No,47.0
61,15,22.0,Yes,55.0
70,17,25.0,Yes,43.0
72,8,12.0,No,50.0
69,11,18.0,Yes,23.0
73,18,28.0,No,55.0
77,13,15.0,No,46.0
68,11,18.0,Yes,38.0
98,17,25.0,Yes,48.0
87,15,23.0,No,59.0
62,14,20.0,No,35.0
79,20,30.0,Yes,36.0
65,19,30.0,No,29.0
86,14,22.0,Yes,36.0
61,17,28.0,No,35.0
88,8,12.0,No,43.0
97,18,27.0,No,45.0
62,12,18.0,Yes,31.0
75,11,14.0,No,48.0
89,10,10.0,No,47.0
99,9,12.0,No,47.0
61,18,29.0,No,36.0
76,17,28.0,Yes,64.0
100,13,15.0,No,51.0
71,18,30.0,Yes,32.0
94,13,18.0,No,29.0
60,16,21.0,No,37.0
74,14,23.0,Yes,46.0
85,15,21.0,Yes,59.0
96,12,23.0,No,38.0
80,13,18.0,No,29.0
90,17,25.0,No,48.0
84,17,24.0,Yes,40.0
82,14,21.0,No,46.0
83,10,17.0,Yes,43.0
97,20,27.0,No,42.0
87,15,24.0,Yes,55.0
80,16,23.0,Yes,51.0
77,11,15.0,Yes,47.0
95,19,26.0,No,23.0
94,19,30.0,No,42.0
68,10,16.0,Yes,54.0
97,15,21.0,Yes,35.0
89,14,23.0,Yes,43.0
93,20,30.0,No,44.0
91,19,30.0,No,47.0
62,11,20.0,No,41.0
62,13,20.0,Yes,49.0
87,12,22.0,No,49.0
74,16,27.0,No,36.0
100,20,30.0,No,37.0
82,15,19.0,Yes,47.0
99,17,26.0,No,60.0
70,13,20.0,No,55.0
91,16,24.0,No,39.0
95,14,21.0,No,37.0
92,10,16.0,No,41.0
83,16,26.0,Yes,60.0
98,15,19.0,Yes,45.0
93,12,21.0,Yes,47.0
87,20,27.0,Yes,37.0
96,13,19.0,No,45.0
66,17,24.0,No,30.0
63,14,20.0,Yes,31.0
96,20,30.0,Yes,46.0
60,14,21.0,Yes,47.0
60,10,16.0,No,41.0
79,17,27.0,No,48.0
78,20,26.0,No,32.0
88,14,20.0,Yes,42.0
69,17,27.0,Yes,39.0
77,15,24.0,Yes,44.0
87,14,17.0,No,42.0
94,18,29.0,No,68.0
90,13,21.0,Yes,35.0
86,15,21.0,Yes,45.0
70,16,25.0,No,70.0
97,16,24.0,No,51.0
64,13,20.0,Yes,45.0
67,20,26.0,Yes,53.0
93,19,28.0,No,51.0
71,18,29.0,Yes,34.0
97,19,30.0,Yes,30.0
60,15,24.0,No,46.0
90,14,21.0,Yes,40.0
63,12,19.0,No,68.0
64,13,19.0,Yes,56.0
89,12,16.0,No,56.0
83,13,19.0,Yes,21.0
62,16,27.0,Yes,39.0
70,18,29.0,Yes,45.0
63,18,25.0,No,38.0
85,11,16.0,Yes,39.0
86,17,24.0,Yes,42.0
86,18,27.0,No,46.0
65,14,23.0,Yes,70.0
74,19,30.0,No,38.0
89,18,24.0,No,53.0
96,11,18.0,No,60.0
96,20,30.0,Yes,35.0
96,13,19.0,No,65.0
94,18,25.0,Yes,47.0
82,18,30.0,No,20.0
65,11,13.0,Yes,57.0
63,16,23.0,No,29.0
77,18,28.0,No,60.0
68,11,17.0,Yes,55.0
88,15,25.0,No,35.0
72,18,25.0,Yes,41.0
76,18,28.0,No,52.0
91,14,21.0,Yes,39.0
81,20,30.0,No,62.0
63,19,28.0,No,54.0
64,16,24.0,Yes,30.0
96,13,19.0,No,43.0
100,12,17.0,Yes,50.0
72,16,23.0,Yes,37.0
93,19,29.0,No,56.0
81,15,20.0,No,51.0
82,12,18.0,No,52.0
62,17,24.0,Yes,42.0
93,16,24.0,Yes,35.0
91,17,25.0,No,57.0
80,13,21.0,Yes,63.0
80,14,22.0,No,55.0
70,13,20.0,No,54.0
98,16,24.0,No,46.0
63,14,21.0,Yes,38.0
60,17,25.0,Yes,52.0
87,13,16.0,No,39.0
83,16,25.0,Yes,55.0
94,17,26.0,No,48.0
72,16,26.0,No,30.0
93,18,26.0,Yes,46.0
70,14,24.0,No,33.0
95,17,25.0,No,31.0
76,16,23.0,No,23.0
94,13,23.0,No,32.0
77,9,14.0,No,33.0
99,10,18.0,Yes,58.0
81,8,12.0,Yes,51.0
83,16,26.0,No,65.0
78,14,23.0,Yes,43.0
96,15,22.0,No,32.0
98,14,22.0,No,45.0
80,17,26.0,No,41.0
67,17,27.0,No,49.0
87,15,20.0,Yes,31.0
64,15,24.0,Yes,45.0
76,15,24.0,No,58.0
96,19,27.0,Yes,59.0
95,9,12.0,No,57.0
78,13,16.0,Yes,51.0
86,18,30.0,No,54.0
93,18,26.0,No,45.0
70,16,27.0,No,49.0
71,14,21.0,Yes,44.0
80,20,30.0,Yes,40.0
70,16,25.0,No,48.0
98,15,27.0,Yes,62.0
87,19,30.0,Yes,48.0
64,16,24.0,Yes,50.0
76,18,28.0,Yes,53.0
79,18,28.0,Yes,48.0
100,14,26.0,Yes,43.0
71,20,30.0,Yes,53.0
76,9,14.0,Yes,57.0
78,13,18.0,Yes,58.0
85,14,21.0,Yes,45.0
91,16,26.0,Yes,38.0
65,13,21.0,Yes,66.0
95,15,21.0,No,38.0
97,14,21.0,No,42.0
70,20,28.0,Yes,25.0
92,13,22.0,Yes,59.0
83,10,17.0,Yes,31.0
82,18,25.0,No,50.0
74,13,25.0,No,48.0
86,15,22.0,Yes,44.0
70,13,20.0,Yes,40.0
76,17,25.0,Yes,49.0
73,11,17.0,Yes,62.0
86,7,11.0,Yes,42.0
77,19,26.0,No,28.0
87,16,26.0,Yes,27.0
63,18,25.0,No,43.0
66,19,30.0,Yes,40.0
94,12,18.0,Yes,43.0
68,15,23.0,No,48.0
67,17,26.0,No,40.0
76,15,23.0,Yes,70.0
76,14,22.0,No,49.0
92,14,20.0,Yes,54.0
91,18,29.0,No,43.0
67,14,19.0,No,44.0
78,17,24.0,Yes,39.0
97,16,25.0,Yes,46.0
62,12,20.0,No,30.0
64,16,25.0,Yes,29.0
72,10,18.0,No,39.0
90,16,22.0,No,36.0
75,18,25.0,Yes,39.0
91,18,29.0,No,42.0
81,12,18.0,Yes,42.0
88,13,21.0,Yes,53.0
81,16,22.0,No,53.0
62,14,20.0,Yes,45.0
69,9,17.0,No,65.0
80,13,19.0,No,40.0
75,16,27.0,Yes,53.0
71,18,29.0,Yes,50.0
61,20,29.0,No,43.0
100,15,25.0,Yes,44.0
83,17,26.0,No,41.0
94,18,27.0,No,53.0
89,9,13.0,No,57.0
89,12,19.0,No,45.0
94,15,20.0,No,26.0
78,20,30.0,Yes,50.0
67,17,26.0,No,43.0
85,16,23.0,No,34.0
99,14,18.0,No,46.0
66,16,23.0,No,42.0
89,13,20.0,No,34.0
66,13,20.0,No,43.0
62,13,20.0,Yes,59.0
60,19,30.0,Yes,46.0
95,12,16.0,No,45.0
84,14,21.0,No,49.0
96,16,25.0,No,47.0
60,12,19.0,Yes,42.0
74,16,26.0,No,47.0
96,16,24.0,No,46.0
72,13,20.0,No,24.0
99,14,20.0,No,50.0
67,12,19.0,No,45.0
64,19,27.0,No,50.0
68,16,25.0,Yes,45.0
60,12,20.0,No,41.0
95,15,23.0,No,35.0
94,16,27.0,No,47.0
61,8,11.0,No,47.0
99,19,26.0,No,58.0
82,12,18.0,No,40.0
68,20,29.0,No,56.0
93,17,25.0,No,53.0
73,12,14.0,No,37.0
63,14,21.0,Yes,31.0
89,18,27.0,Yes,55.0
90,14,23.0,Yes,50.0
97,19,30.0,No,53.0
70,14,21.0,Yes,46.0
94,15,24.0,Yes,35.0
67,18,29.0,Yes,47.0
62,17,25.0,Yes,52.0
73,12,18.0,No,23.0
72,16,27.0,Yes,50.0
91,16,25.0,Yes,53.0
93,12,16.0,No,54.0
78,11,14.0,Yes,50.0
97,9,11.0,No,41.0
75,14,17.0,Yes,44.0
61,15,22.0,Yes,30.0
99,17,25.0,Yes,56.0
76,17,24.0,No,53.0
